mod_amp,theta_mean,theta_std,dynamic_range,bfip_break
0.0,0.9989501024938885,0.022336074184540082,0.4999500024988861,False
0.05263157894736842,0.9989501024939166,0.022336074184541345,0.49995000249893873,False
0.10526315789473684,0.9989501024939448,0.022336074184542604,0.49995000249899146,False
0.15789473684210525,0.9989501024939728,0.02233607418454386,0.49995000249904387,False
0.21052631578947367,0.998950102494001,0.02233607418454512,0.4999500024990966,False
0.2631578947368421,0.998950102494029,0.02233607418454638,0.4999500024991491,False
0.3157894736842105,0.998950102494057,0.02233607418454764,0.49995000249920163,False
0.3684210526315789,0.9989501024940853,0.02233607418454889,0.49995000249925425,False
0.42105263157894735,0.9989501024941133,0.02233607418455016,0.499950002499307,False
0.47368421052631576,0.9989501024941415,0.02233607418455142,0.4999500024993596,False
0.5263157894736842,0.9989501024941696,0.02233607418455268,0.49995000249941224,False
0.5789473684210527,0.9989501024941978,0.022336074184553936,0.49995000249946475,False
0.631578947368421,0.9989501024942259,0.022336074184555195,0.4999500024995174,False
0.6842105263157894,0.9989501024942542,0.02233607418455646,0.4999500024995701,False
0.7368421052631579,0.9989501024942824,0.02233607418455772,0.49995000249962274,False
0.7894736842105263,0.9989501024943105,0.022336074184558984,0.49995000249967547,False
0.8421052631578947,0.9989501024943386,0.02233607418456024,0.4999500024997281,False
0.894736842105263,0.9989501024943669,0.022336074184561506,0.49995000249978083,False
0.9473684210526315,0.9989501024943951,0.02233607418456277,0.49995000249983335,False
1.0,0.9989501024944233,0.022336074184564028,0.4999500024998861,False
