ligand,theta_mean,G_mean,I,bfip
0.0,0.0,-1908.5514400472787,0.693147180559956,False
0.20408163265306123,0.040885430715868504,-1908.5514400472787,0.6732417871918308,False
0.40816326530612246,0.07843651777925825,-1908.5514400472787,0.6749175291865379,False
0.6122448979591837,0.11305967239240429,-1908.5514400472787,0.6763818939381894,True
0.8163265306122449,0.14509560705590724,-1908.5514400472787,0.6776702107219545,True
1.0204081632653061,0.17483251120523324,-1908.5514400472787,0.6788105100071284,True
1.2244897959183674,0.2025160883178185,-1908.5514400472787,0.6798253049549601,True
1.4285714285714286,0.22835731541238422,-1908.5514400472787,0.6807328752453925,True
1.6326530612244898,0.2525385201953522,-1908.5514400472787,0.6815482086687412,True
1.836734693877551,0.27521819599931224,-1908.5514400472787,0.682283702601409,True
2.0408163265306123,0.2965348565018514,-1908.5514400472787,0.6829496939758215,True
2.2448979591836737,0.3166101508213842,-1908.5514400472787,0.6835548647709295,True
2.4489795918367347,0.3355514024804716,-1908.5514400472787,0.6841065558388593,True
2.6530612244897958,0.3534536949952497,-1908.5514400472787,0.6846110123409366,True
2.857142857142857,0.37040159736260514,-1908.5514400472787,0.6850735775427843,True
3.0612244897959187,0.3864706010811193,-1908.5514400472787,0.6854988471865635,True
3.2653061224489797,0.4017283242711638,-1908.5514400472787,0.6858907934625957,True
3.4693877551020407,0.4162355263876869,-1908.5514400472787,0.6862528653188926,True
3.673469387755102,0.430046967857078,-1908.5514400472787,0.6865880701938423,True
3.8775510204081636,0.4432121419491004,-1908.5514400472787,0.6868990410475222,True
4.081632653061225,0.4557759007678944,-1908.5514400472787,0.6871880916712385,True
4.285714285714286,0.4677789930162088,-1908.5514400472787,0.6874572625858599,True
4.4897959183673475,0.4792585278649646,-1908.5514400472787,0.687708359334442,True
4.6938775510204085,0.4902483766323943,-1908.5514400472787,0.6879429845906229,True
4.8979591836734695,0.5007795218843116,-1908.5514400472787,0.6881625652094758,True
5.1020408163265305,0.5108803618900308,-1908.5514400472787,0.6883683751197065,True
5.3061224489795915,0.5205769770165186,-1908.5514400472787,0.6885615547788246,True
5.510204081632653,0.5298933635473729,-1908.5514400472787,0.6887431277737726,True
5.714285714285714,0.538851639520064,-1908.5514400472787,0.6889140150399564,True
5.918367346938775,0.5474722264432809,-1908.5514400472787,0.6890750470845202,True
6.122448979591837,0.5557740101541933,-1908.5514400472787,0.6892269745302686,True
6.326530612244898,0.5637744835777323,-1908.5514400472787,0.6893704772408995,True
6.530612244897959,0.5714898737367828,-1908.5514400472787,0.6895061722432239,True
6.73469387755102,0.5789352550177127,-1908.5514400472787,0.6896346206256023,True
6.938775510204081,0.5861246504073804,-1908.5514400472787,0.6897563335621317,True
7.142857142857143,0.5930711221755977,-1908.5514400472787,0.6898717775878245,True
7.346938775510204,0.5997868532728683,-1908.5514400472787,0.6899813792300913,True
7.551020408163265,0.606283220540532,-1908.5514400472787,0.6900855290852945,True
7.755102040816327,0.6125708606838849,-1908.5514400472787,0.6901845854155839,True
7.959183673469388,0.6186597298340643,-1908.5514400472787,0.6902788773298969,True
8.16326530612245,0.624559157417953,-1908.5514400472787,0.6903687076034641,True
8.36734693877551,0.6302778949640948,-1908.5514400472787,0.6904543551822577,True
8.571428571428571,0.6358241603942699,-1908.5514400472787,0.6905360774123448,True
8.775510204081632,0.6412056782828865,-1908.5514400472787,0.6906141120281646,True
8.979591836734695,0.6464297165081114,-1908.5514400472787,0.6906886789293676,True
9.183673469387756,0.6515031196682182,-1908.5514400472787,0.6907599817716035,True
9.387755102040817,0.6564323395929281,-1908.5514400472787,0.6908282093932874,True
9.591836734693878,0.6612234632414519,-1908.5514400472787,0.6908935370975993,True
9.795918367346939,0.665882238245806,-1908.5514400472787,0.6909561278061496,True
10.0,0.6704140963290263,-1908.5514400472787,0.6910161330990716,True
