ΔH_index,ΔS_index,Logic_Code,Interpretation
7,9,100,H⁺-only activation
8,9,100,H⁺-only activation
9,9,100,H⁺-only activation
10,9,100,H⁺-only activation
11,9,100,H⁺-only activation
12,9,100,H⁺-only activation
13,9,100,H⁺-only activation
14,9,100,H⁺-only activation
15,9,100,H⁺-only activation
16,9,100,H⁺-only activation
17,9,100,H⁺-only activation
18,9,100,H⁺-only activation
19,9,000,No BFIP activity
0,10,110,Proton + Calcium synergy
1,10,110,Proton + Calcium synergy
2,10,110,Proton + Calcium synergy
3,10,100,H⁺-only activation
4,10,100,H⁺-only activation
5,10,100,H⁺-only activation
6,10,100,H⁺-only activation
7,10,100,H⁺-only activation
8,10,100,H⁺-only activation
9,10,100,H⁺-only activation
10,10,100,H⁺-only activation
11,10,100,H⁺-only activation
12,10,100,H⁺-only activation
13,10,100,H⁺-only activation
14,10,100,H⁺-only activation
15,10,100,H⁺-only activation
16,10,100,H⁺-only activation
17,10,000,No BFIP activity
18,10,100,H⁺-only activation
19,10,100,H⁺-only activation
0,11,110,Proton + Calcium synergy
1,11,110,Proton + Calcium synergy
2,11,100,H⁺-only activation
3,11,100,H⁺-only activation
4,11,100,H⁺-only activation
5,11,100,H⁺-only activation
6,11,100,H⁺-only activation
7,11,100,H⁺-only activation
8,11,100,H⁺-only activation
9,11,100,H⁺-only activation
10,11,100,H⁺-only activation
11,11,100,H⁺-only activation
12,11,100,H⁺-only activation
13,11,100,H⁺-only activation
14,11,100,H⁺-only activation
15,11,100,H⁺-only activation
16,11,100,H⁺-only activation
17,11,100,H⁺-only activation
18,11,100,H⁺-only activation
19,11,000,No BFIP activity
0,12,110,Proton + Calcium synergy
1,12,110,Proton + Calcium synergy
2,12,110,Proton + Calcium synergy
3,12,100,H⁺-only activation
4,12,100,H⁺-only activation
5,12,100,H⁺-only activation
6,12,100,H⁺-only activation
7,12,100,H⁺-only activation
8,12,100,H⁺-only activation
9,12,100,H⁺-only activation
10,12,100,H⁺-only activation
11,12,100,H⁺-only activation
12,12,100,H⁺-only activation
13,12,100,H⁺-only activation
14,12,100,H⁺-only activation
15,12,100,H⁺-only activation
16,12,100,H⁺-only activation
17,12,100,H⁺-only activation
18,12,100,H⁺-only activation
19,12,100,H⁺-only activation
0,13,110,Proton + Calcium synergy
1,13,110,Proton + Calcium synergy
2,13,110,Proton + Calcium synergy
3,13,110,Proton + Calcium synergy
4,13,100,H⁺-only activation
5,13,100,H⁺-only activation
6,13,100,H⁺-only activation
7,13,100,H⁺-only activation
8,13,100,H⁺-only activation
9,13,100,H⁺-only activation
10,13,100,H⁺-only activation
11,13,100,H⁺-only activation
12,13,100,H⁺-only activation
13,13,100,H⁺-only activation
14,13,100,H⁺-only activation
15,13,100,H⁺-only activation
16,13,100,H⁺-only activation
17,13,100,H⁺-only activation
18,13,100,H⁺-only activation
19,13,100,H⁺-only activation
0,14,110,Proton + Calcium synergy
1,14,110,Proton + Calcium synergy
2,14,110,Proton + Calcium synergy
3,14,110,Proton + Calcium synergy
4,14,100,H⁺-only activation
5,14,100,H⁺-only activation
6,14,100,H⁺-only activation
7,14,100,H⁺-only activation
8,14,100,H⁺-only activation
9,14,100,H⁺-only activation
10,14,100,H⁺-only activation
11,14,100,H⁺-only activation
12,14,100,H⁺-only activation
13,14,100,H⁺-only activation
14,14,100,H⁺-only activation
15,14,100,H⁺-only activation
16,14,100,H⁺-only activation
17,14,100,H⁺-only activation
18,14,100,H⁺-only activation
19,14,100,H⁺-only activation
0,15,110,Proton + Calcium synergy
1,15,110,Proton + Calcium synergy
2,15,110,Proton + Calcium synergy
3,15,110,Proton + Calcium synergy
4,15,110,Proton + Calcium synergy
5,15,100,H⁺-only activation
6,15,100,H⁺-only activation
7,15,100,H⁺-only activation
8,15,100,H⁺-only activation
9,15,100,H⁺-only activation
10,15,100,H⁺-only activation
11,15,100,H⁺-only activation
12,15,100,H⁺-only activation
13,15,100,H⁺-only activation
14,15,100,H⁺-only activation
15,15,100,H⁺-only activation
16,15,100,H⁺-only activation
17,15,100,H⁺-only activation
18,15,100,H⁺-only activation
19,15,100,H⁺-only activation
0,16,110,Proton + Calcium synergy
1,16,110,Proton + Calcium synergy
2,16,110,Proton + Calcium synergy
3,16,110,Proton + Calcium synergy
4,16,110,Proton + Calcium synergy
5,16,100,H⁺-only activation
6,16,100,H⁺-only activation
7,16,100,H⁺-only activation
8,16,100,H⁺-only activation
9,16,100,H⁺-only activation
10,16,100,H⁺-only activation
11,16,100,H⁺-only activation
12,16,100,H⁺-only activation
13,16,100,H⁺-only activation
14,16,100,H⁺-only activation
15,16,100,H⁺-only activation
16,16,100,H⁺-only activation
17,16,100,H⁺-only activation
18,16,100,H⁺-only activation
19,16,100,H⁺-only activation
0,17,110,Proton + Calcium synergy
1,17,110,Proton + Calcium synergy
2,17,110,Proton + Calcium synergy
3,17,110,Proton + Calcium synergy
4,17,110,Proton + Calcium synergy
5,17,110,Proton + Calcium synergy
6,17,100,H⁺-only activation
7,17,100,H⁺-only activation
8,17,100,H⁺-only activation
9,17,100,H⁺-only activation
10,17,100,H⁺-only activation
11,17,100,H⁺-only activation
12,17,100,H⁺-only activation
13,17,100,H⁺-only activation
14,17,100,H⁺-only activation
15,17,100,H⁺-only activation
16,17,100,H⁺-only activation
17,17,100,H⁺-only activation
18,17,100,H⁺-only activation
19,17,100,H⁺-only activation
0,18,110,Proton + Calcium synergy
1,18,110,Proton + Calcium synergy
2,18,110,Proton + Calcium synergy
3,18,110,Proton + Calcium synergy
4,18,110,Proton + Calcium synergy
5,18,110,Proton + Calcium synergy
6,18,100,H⁺-only activation
7,18,100,H⁺-only activation
8,18,100,H⁺-only activation
9,18,100,H⁺-only activation
10,18,100,H⁺-only activation
11,18,100,H⁺-only activation
12,18,100,H⁺-only activation
13,18,100,H⁺-only activation
14,18,100,H⁺-only activation
15,18,100,H⁺-only activation
16,18,100,H⁺-only activation
