time,θ_1,θ_2
0.0,0.5,0.5
0.40080160320641284,0.9983186914572197,0.9999831588829048
0.8016032064128257,6.8811993348784e-310,6.88136050868725e-310
1.2024048096192386,6.881356123193e-310,6.8813605085331e-310
1.6032064128256514,6.8811993348705e-310,6.8813559413357e-310
2.0040080160320644,6.8813559355018e-310,6.8813605084904e-310
2.404809619238477,6.8813559413381e-310,6.88135612279457e-310
2.80561122244489,6.8813605084999e-310,6.88135612279457e-310
3.2064128256513027,6.88135612279457e-310,6.88135612279457e-310
3.6072144288577155,6.88136050861136e-310,6.88135594162505e-310
4.008016032064129,6.88135593376743e-310,6.8813605084999e-310
4.408817635270541,6.88135593370577e-310,6.8813559416274e-310
4.809619238476954,6.8813559349785e-310,6.8813605086161e-310
5.210420841683367,6.8813559337279e-310,6.8813605084999e-310
5.61122244488978,6.8813559416298e-310,6.8813514567248e-310
6.012024048096192,6.8813605084999e-310,6.8813514567248e-310
6.412825651302605,6.8813514567248e-310,6.88135594122426e-310
6.813627254509019,6.881360503062e-310,6.8813605085402e-310
7.214428857715431,6.881360503062e-310,6.881360503062e-310
7.615230460921844,6.881360503062e-310,6.8813605084904e-310
8.016032064128257,6.88135594122663e-310,6.88135147152303e-310
8.41683366733467,6.8813605084999e-310,6.88135147152303e-310
8.817635270541082,6.88135147152303e-310,6.88135594124323e-310
9.218436873747494,6.8813514715325e-310,6.88136050861136e-310
9.619238476953909,6.8813514715325e-310,6.8813559412456e-310
10.02004008016032,6.8813605086161e-310,6.8813559358338e-310
10.420841683366733,6.88136050861136e-310,6.881355941248e-310
10.821643286573147,6.8813605086161e-310,6.88120179718303e-310
11.22244488977956,6.8813605084999e-310,6.8813514715325e-310
11.623246492985972,6.88135594125035e-310,6.8813514715325e-310
12.024048096192384,6.88136050861136e-310,6.8813514715325e-310
12.424849699398798,6.8813559413547e-310,6.8813605086161e-310
12.82565130260521,6.8813514610694e-310,6.88136050861136e-310
13.226452905811623,6.88135594135707e-310,6.8813605086161e-310
13.627254509018037,6.88135145798643e-310,6.8813605084928e-310
14.02805611222445,6.8813514715325e-310,6.8813605084928e-310
14.428857715430862,6.88135147152303e-310,6.8813514715325e-310
14.829659318637274,6.8813514715325e-310,6.881360503062e-310
15.230460921843688,6.8813605084999e-310,6.8813559355018e-310
15.6312625250501,6.881351458056e-310,6.8813605085331e-310
16.032064128256515,6.88119933486657e-310,6.88135594135944e-310
16.432865731462925,6.8813559355018e-310,6.8813605084904e-310
16.83366733466934,6.8813559413618e-310,6.88135612279457e-310
17.234468937875754,6.8813605084999e-310,6.88135612279457e-310
17.635270541082164,6.88135612279457e-310,6.88135612279457e-310
18.03607214428858,6.88136050861136e-310,6.8813559413642e-310
18.43687374749499,6.88135593371525e-310,6.8813605084999e-310
18.837675350701403,6.8813559337295e-310,6.88135594136655e-310
19.238476953907817,6.8813559337358e-310,6.8813605086161e-310
19.639278557114228,6.88135593373897e-310,6.8813605084999e-310
20.04008016032064,6.8813559413689e-310,6.8813514567248e-310
20.440881763527056,6.8813605084999e-310,6.8813514567248e-310
20.841683366733466,6.8813514567248e-310,6.8813559413713e-310
21.24248496993988,6.881360503062e-310,6.8813605085402e-310
21.643286573146295,6.881360503062e-310,6.881360503062e-310
22.044088176352705,6.881360503062e-310,6.8813605084904e-310
22.44488977955912,6.88135594137367e-310,6.88135147152303e-310
22.845691382765533,6.8813605084999e-310,6.88135147152303e-310
23.246492985971944,6.88135147152303e-310,6.88135594137604e-310
23.647294589178358,6.8813514715325e-310,6.88136050861136e-310
24.04809619238477,6.8813514715325e-310,6.8813559413784e-310
24.448897795591183,6.8813605086161e-310,6.88135593633025e-310
24.849699398797597,6.88136050861136e-310,6.8813559416796e-310
25.250501002004007,6.8813605086161e-310,6.8813514580149e-310
25.65130260521042,6.8813605084999e-310,6.8813514715325e-310
26.052104208416836,6.88135594168196e-310,6.8813514715325e-310
26.452905811623246,6.88136050861136e-310,6.8813514715325e-310
26.85370741482966,6.88135594168434e-310,6.8813605086161e-310
27.254509018036075,6.88135593565674e-310,6.88136050861136e-310
27.655310621242485,6.8813559416867e-310,6.8813605086161e-310
28.0561122244489,6.88135593393976e-310,6.8813605084928e-310
28.45691382765531,6.8813514715325e-310,6.8813605084928e-310
28.857715430861724,6.88135147152303e-310,6.8813514715325e-310
29.258517034068138,6.8813514715325e-310,6.881360503062e-310
29.65931863727455,6.8813605084999e-310,6.8813559355018e-310
30.060120240480963,6.88135593556504e-310,6.8813605085331e-310
30.460921843687377,6.88120162314623e-310,6.8813559416891e-310
30.861723446893787,6.8813559355018e-310,6.8813605084904e-310
31.2625250501002,6.88135594169145e-310,6.88135612279457e-310
31.663326653306616,6.8813605084999e-310,6.88135612279457e-310
32.06412825651303,6.88135612279457e-310,6.88135612279457e-310
32.46492985971944,6.88136050861136e-310,6.8813559416938e-310
32.86573146292585,6.88135593374846e-310,6.8813605084999e-310
33.26653306613227,6.8813559337453e-310,6.8813559416962e-310
33.66733466933868,6.8813559337532e-310,6.8813605086161e-310
34.06813627254509,6.8813559337627e-310,6.8813605084999e-310
34.46893787575151,3.7186717616901845e-294,-5.827693597212111e+303
34.86973947895792,6.8813605032533e-310,6.8813514681365e-310
35.27054108216433,6.88135980865077e-310,6.8813597864542e-310
35.671342685370746,6.8813605097916e-310,6.88136050802204e-310
36.07214428857716,6.8813598086381e-310,6.88136050802046e-310
36.47294589178357,6.88135977358713e-310,6.88136050802204e-310
36.87374749498998,6.8813597645501e-310,6.8813605080315e-310
37.274549098196395,0.0,0.0
