time,θ_1,θ_2
0.0,0.5,0.5
0.40080160320641284,0.9995933293418334,0.9983752995080228
0.8016032064128257,5.573e-321,6.88135591465934e-310
1.2024048096192386,3.66e-322,6.8813559146641e-310
1.6032064128256514,5.48e-321,6.88135591465934e-310
2.0040080160320644,3.66e-322,6.88135591466566e-310
2.404809619238477,5.474e-321,6.88135591465934e-310
2.80561122244489,3.66e-322,6.88135591466725e-310
3.2064128256513027,5.47e-321,6.88135591465934e-310
3.6072144288577155,3.66e-322,6.88135591466883e-310
4.008016032064129,5.43e-321,6.88135591465934e-310
4.408817635270541,3.66e-322,6.8813559146704e-310
4.809619238476954,5e-324,6.88135591467436e-310
5.210420841683367,6.88135591465934e-310,1e-323
5.61122244488978,6.88135591467555e-310,6.88135591457555e-310
6.012024048096192,6.88135591465934e-310,1.5e-323
6.412825651302605,6.88135591467713e-310,6.88135591439017e-310
6.813627254509019,6.88135591457555e-310,6.88135591465934e-310
7.214428857715431,1.3e-322,6.88135591467634e-310
7.615230460921844,5e-324,0.0
8.016032064128257,1.7188165907e-312,3.373973307655e-312
8.41683366733467,1.2e-322,6.88135147152303e-310
8.817635270541082,5e-324,0.0
9.218436873747494,1.74003654861e-312,1.994676043527e-312
9.619238476953909,1.2e-322,6.8813514715325e-310
10.02004008016032,5e-324,0.0
10.420841683366733,2.037115959346e-312,2.31297541217e-312
10.821643286573147,1.2e-322,6.8813514715325e-310
11.22244488977956,5e-324,0.0
11.623246492985972,2.694934654546e-312,2.97079410737e-312
12.024048096192384,5e-324,6.8813559146886e-310
12.424849699398798,6.88135591465934e-310,1e-323
12.82565130260521,6.88135591468978e-310,6.88135591457555e-310
13.226452905811623,6.88135591465934e-310,1.5e-323
13.627254509018037,6.88135591469136e-310,6.88135591439017e-310
14.02805611222445,6.88135591457555e-310,6.88135591465934e-310
14.428857715430862,1.3e-322,6.88135591469057e-310
14.829659318637274,5e-324,0.0
15.230460921843688,1.7188165907e-312,3.373973307655e-312
15.6312625250501,5.583e-321,6.8813559146783e-310
16.032064128256515,3.7e-322,6.88135591437515e-310
16.432865731462925,5.573e-321,6.8813559146783e-310
16.83366733466934,3.7e-322,6.8813559146949e-310
17.234468937875754,5.48e-321,6.8813559146783e-310
17.635270541082164,3.7e-322,6.8813559146965e-310
18.03607214428858,5.474e-321,6.8813559146783e-310
18.43687374749499,3.7e-322,6.8813559146981e-310
18.837675350701403,5.47e-321,6.8813559146783e-310
19.238476953907817,3.7e-322,6.88135591469966e-310
19.639278557114228,5.43e-321,6.8813559146783e-310
20.04008016032064,3.7e-322,6.88135591470124e-310
20.440881763527056,6.881360503062e-310,6.8813559146783e-310
20.841683366733466,1.612716801153e-312,3.373973307655e-312
21.24248496993988,6.8813559147044e-310,5e-324
21.643286573146295,0.0,6.88135591470756e-310
22.044088176352705,0.0,5e-324
22.44488977955912,6.88135591470875e-310,6.881355914706e-310
22.845691382765533,1.2e-322,6.881360503062e-310
23.246492985971944,5e-324,0.0
23.647294589178358,1.612716801153e-312,1.69759663279e-312
24.04809619238477,6.881360503062e-310,6.8813559146783e-310
24.448897795591183,1.612716801153e-312,3.373973307655e-312
24.849699398797597,6.8813559147115e-310,5e-324
25.250501002004007,0.0,6.8813559147147e-310
25.65130260521042,0.0,5e-324
26.052104208416836,6.88135591471586e-310,6.8813559147131e-310
26.452905811623246,5e-324,6.88135591471705e-310
26.85370741482966,6.8813559147115e-310,1.5e-323
27.254509018036075,6.88135591471823e-310,6.8813559142064e-310
27.655310621242485,6.8813559142874e-310,6.88135591431784e-310
28.0561122244489,8.4e-323,6.88135981900164e-310
28.45691382765531,6.88135591471744e-310,6.88135591471626e-310
28.857715430861724,7.4269852686e-313,3.373973307655e-312
29.258517034068138,5.736e-321,6.8813559147194e-310
29.65931863727455,3.7e-322,6.88135591421903e-310
30.060120240480963,8.4e-323,6.88135591419057e-310
30.460921843687377,6.88135591471744e-310,6.88135591471626e-310
30.861723446893787,5.9415882149e-313,3.395193265564e-312
31.2625250501002,1.2e-322,6.8813559355018e-310
31.663326653306616,5e-324,0.0
32.06412825651303,5.9415882149e-313,7.2147856895e-313
32.46492985971944,5.583e-321,6.88135591472337e-310
32.86573146292585,3.75e-322,6.881355914189e-310
33.26653306613227,5.573e-321,6.88135591472337e-310
33.66733466933868,3.75e-322,6.8813559147281e-310
34.06813627254509,5.48e-321,6.88135591472337e-310
34.46893787575151,3.75e-322,6.8813559147297e-310
34.86973947895792,5.474e-321,6.88135591472337e-310
35.27054108216433,3.75e-322,6.8813559147313e-310
35.671342685370746,5.47e-321,6.88135591472337e-310
36.07214428857716,3.75e-322,6.88135591473286e-310
36.47294589178357,5.43e-321,6.88135591472337e-310
36.87374749498998,3.75e-322,6.88135591473444e-310
37.274549098196395,6.88135591416607e-310,6.88135591472337e-310
37.675350701402806,5.543e-321,6.88135591475064e-310
38.07615230460922,3.85e-322,0.0
38.476953907815634,5.55e-321,6.88135591475064e-310
38.877755511022045,3.85e-322,6.8813559147384e-310
39.278557114228455,5.553e-321,6.88135591475064e-310
39.67935871743487,3.85e-322,6.88135591473997e-310
40.08016032064128,5.56e-321,6.88135591475064e-310
40.480961923847694,3.85e-322,6.88135591474155e-310
40.88176352705411,5.563e-321,6.88135591475064e-310
41.28256513026052,3.85e-322,6.88135591474313e-310
41.68336673346693,5.57e-321,6.88135591475064e-310
42.08416833667335,3.85e-322,6.8813559147447e-310
42.48496993987976,5.59e-321,6.88135591475064e-310
42.88577154308617,3.85e-322,6.8813559147463e-310
