theta,deltaG,MI,RUPTURE
0.05,-4236.6442431225805,100000.0,False
0.05452261306532664,-4101.629332855204,103517.5879396985,False
0.05904522613065327,-3972.744454129174,107035.17587939698,False
0.0635678391959799,-3850.4057892978467,110552.76381909547,False
0.06809045226130653,-3735.0083823255654,114070.35175879397,False
0.07261306532663317,-3626.92486315061,117587.93969849247,False
0.0771356783919598,-3526.504244425309,121105.52763819095,False
0.08165829145728642,-3434.0707945187646,124623.11557788945,False
0.08618090452261307,-3349.922990421382,128140.70351758794,False
0.09070351758793971,-3274.332553932375,131658.29145728642,False
0.09522613065326634,-3207.5435742425016,135175.87939698494,False
0.09974874371859296,-3149.7717197452953,138693.46733668342,False
0.1042713567839196,-3101.2035416219337,142211.0552763819,False
0.10879396984924623,-3061.9958714485456,145728.6432160804,False
0.11331658291457286,-3032.2753147711305,149246.2311557789,False
0.1178391959798995,-3012.1378422834055,152763.8190954774,False
0.12236180904522613,-3001.648479927695,156281.4070351759,False
0.12688442211055276,-3000.8410989195654,159798.99497487437,False
0.1314070351758794,-3009.7183063742295,163316.58291457285,False
0.135929648241206,-3028.251436887908,166834.17085427136,True
0.14045226130653266,-3056.3806451013256,170351.75879396984,True
0.1449748743718593,-3094.0150989464564,173869.34673366835,True
0.14949748743718594,-3141.0332729524816,177386.93467336684,True
0.15402010050251258,-3197.2833406638724,180904.52261306532,True
0.1585427135678392,-3262.5836649034204,184422.1105527638,True
0.1630653266331658,-3336.7233842971177,187939.6984924623,True
0.16758793969849245,-3419.463094166936,191457.28643216082,True
0.1721105527638191,-3510.535619592822,194974.8743718593,True
0.17663316582914573,-3609.6468781476333,198492.46231155779,True
0.18115577889447237,-3716.476829519138,202010.05025125627,True
0.18567839195979902,-3830.6805089526665,205527.63819095478,True
0.1902010050251256,-3951.889141177303,209045.22613065326,True
0.19472361809045224,-4079.7113312186775,212562.81407035177,True
0.19924623115577889,-4213.734328253045,216080.40201005025,True
0.20376884422110553,-4353.525358421584,219597.98994974873,True
0.20829145728643217,-4498.633022301118,223115.57788944722,True
0.2128140703517588,-4648.588752518652,226633.16582914573,True
0.2173366834170854,-4802.908326802976,230150.75376884424,True
0.22185929648241204,-4961.093431587527,233668.34170854272,True
0.22638190954773868,-5122.633271115457,237185.9296482412,True
0.23090452261306532,-5287.006216850976,240703.51758793968,True
0.23542713567839196,-5453.681491870827,244221.1055276382,True
0.2399497487437186,-5622.120884796848,247738.69346733668,True
0.24447236180904525,-5791.780487735117,251256.28140703516,True
0.24899497487437183,-5962.112452609753,254773.86934673367,True
0.2535175879396985,-6132.566760219954,258291.45728643215,True
0.2580402010050251,-6302.592996307796,261809.04522613066,True
0.26256281407035176,-6471.642128901752,265326.6331658291,True
0.2670854271356784,-6639.1682811966375,268844.2211055276,True
0.27160804020100504,-6804.6304942452125,272361.80904522614,True
0.2761306532663316,-6967.494473769523,275879.3969849246,True
0.28065326633165827,-7127.234315451353,279396.9849246231,True
0.2851758793969849,-7283.334203130627,282914.57286432164,True
0.28969849246231155,-7435.290074428153,286432.1608040201,True
0.2942211055276382,-7582.61124841419,289949.7487437186,True
0.29874371859296484,-7724.822010066969,293467.3366834171,True
0.3032663316582914,-7861.463146404779,296984.92462311557,True
0.30778894472361806,-7992.093429331293,300502.51256281405,True
0.3123115577889447,-8116.291040405856,304020.10050251253,True
0.31683417085427135,-8233.654932938049,307537.688442211,True
0.321356783919598,-8343.806127008149,311055.27638190956,True
0.3258793969849246,-8446.388933231752,314572.86432160804,True
0.3304020100502512,-8541.072101316895,318090.4522613065,True
0.33492462311557786,-8627.54988970486,321608.04020100506,True
0.3394472361809045,-8705.543052840698,325125.62814070354,True
0.34396984924623114,-8774.799742885465,328643.216080402,True
0.3484924623115578,-8835.096322958458,332160.8040201005,True
0.3530150753768844,-8886.238089283388,335678.391959799,True
0.357537688442211,-8928.059899906646,339195.97989949747,True
0.36206030150753765,-8960.42670795742,342713.56783919595,True
0.3665829145728643,-8983.233997727753,346231.15577889443,False
0.37110552763819094,-8996.408122164366,349748.743718593,False
0.3756281407035176,-8999.906540682468,353266.33165829146,False
0.3801507537688442,-8993.71795653363,356783.91959798994,False
0.3846733668341708,-8977.862353284116,360301.5075376885,False
0.38919597989949745,-8952.390930285936,363819.0954773869,False
0.3937185929648241,-8917.385937348929,367336.68341708544,False
0.39824120603015073,-8872.960409147789,370854.2713567839,False
0.40276381909547737,-8819.257800221627,374371.8592964824,False
0.407286432160804,-8756.4515217447,377889.4472361809,False
0.41180904522613065,-8684.744381564144,381407.03517587937,False
0.41633165829145724,-8604.367929312833,384924.6231155779,False
0.4208542713567839,-8515.581708712132,388442.2110552764,False
0.4253768844221105,-8418.672419478882,391959.7989949749,False
0.42989949748743717,-8313.952991542901,395477.38693467336,False
0.4344221105527638,-8201.761574564502,398994.97487437184,False
0.43894472361809045,-8082.460446014915,402512.5628140703,False
0.44346733668341703,-7956.434841345561,406030.15075376886,False
0.4479899497487437,-7824.091710023692,409547.73869346734,False
0.4525125628140703,-7685.85840145126,413065.3266331658,False
0.45703517587939696,-7542.1812850103215,416582.9145728643,False
0.4615577889447236,-7393.524308691016,420100.5025125628,False
0.46608040201005024,-7240.367500956403,423618.0904522613,False
0.47060301507537683,-7083.205420681862,427135.6783919598,False
