TargetLogic,ResultLogic,dH_H,dS_H,H_on,theta_H,MI_H,dG_H,dH_Ca,dS_Ca,Ca_on,theta_Ca,MI_Ca,dG_Ca
10,00,-66.84,-20.102,False,0.027018410966039207,0.6931471805599453,96.09722917179604,-40.0,-20.05,False,0.026903464407755203,0.6931471805599453,121.82433841264753
10,00,-66.84,-15.102,False,0.047196317411600526,0.6931471805599453,146.98763566499736,-40.0,-15.05,False,0.04700405703638282,0.6931471805599453,172.22331751926845
10,00,-66.84,-10.102,False,0.07989793718582516,0.6931471805599453,175.29868843536173,-40.0,-10.05,False,0.07959587992651743,0.6931471805599453,199.98157797845005
10,00,-66.84,-5.102,False,0.12881220495970733,0.6931471805599453,130.31996091132805,-40.0,-5.05,False,0.12838173705682868,0.6931471805599453,154.49833164109543
10,00,-66.84,-0.102,False,0.19385391595968596,0.6931471805599453,-60.90807017163361,-40.0,-0.05,False,0.19331929271908346,0.6931471805599453,-37.10021060921375
10,00,-66.84,4.898,False,0.2680233617717828,0.6931471805599453,-460.6735277874576,-40.0,4.95,False,0.2674628927873059,0.6931471805599453,-437.18239578914927
10,00,-66.84,9.898,False,0.33913497178909346,0.6931471805599453,-1073.8673852305342,-40.0,9.95,False,0.3386428785454741,0.6931471805599453,-1050.84899245824
10,00,-66.84,14.898,False,0.3968380010343951,0.6931471805599453,-1840.467761823125,-40.0,14.95,False,0.39646853471478544,0.6931471805599453,-1818.1613781958126
10,00,-66.84,19.898,False,0.43764818507488384,0.6931471805599453,-2679.3370759860118,-40.0,19.95,False,0.43740182832743674,0.6931471805599453,-2657.849942539709
10,00,-61.84,-20.102,False,0.026967221086774663,0.6931471805599453,100.78852348590328,-35.0,-20.05,False,0.02685247994849732,0.6931471805599453,126.51766689021139
10,00,-61.84,-15.102,False,0.04711070549005155,0.6931471805599453,151.59976229322757,-35.0,-15.05,False,0.04691875777251815,0.6931471805599453,176.83819134291946
10,00,-61.84,-10.102,False,0.07976345560932205,0.6931471805599453,179.8911285696114,-35.0,-10.05,False,0.07946181059244938,0.6931471805599453,204.57735893623487
10,00,-61.84,-5.102,False,0.12862059936121492,0.6931471805599453,135.02668938227558,-35.0,-5.05,False,0.12819055063724252,0.6931471805599453,159.2086842154224
10,00,-61.84,-0.102,False,0.19361602709783085,0.6931471805599453,-55.91534957080638,-35.0,-0.05,False,0.19308164619743268,0.6931471805599453,-32.10377530703851
10,00,-61.84,4.898,False,0.2677740649757274,0.6931471805599453,-455.30721107533384,-35.0,4.95,False,0.26721351680506517,0.6931471805599453,-431.8120724555218
10,00,-61.84,9.898,False,0.33891616646802075,0.6931471805599453,-1068.2176647101408,-35.0,9.95,False,0.33842372278508004,0.6931471805599453,-1045.194812513464
10,00,-61.84,14.898,False,0.39667376938002613,0.6931471805599453,-1834.7337448670885,-35.0,14.95,False,0.3963038676759452,0.6931471805599453,-1812.4228465266144
10,00,-61.84,19.898,False,0.43753869620754104,0.6931471805599453,-2673.6834931412955,-35.0,19.95,False,0.4372919672751267,0.6931471805599453,-2652.192424141633
10,00,-56.84,-20.102,False,0.02691612267544592,0.6931471805599453,105.48036940654416,-30.0,-20.05,False,0.02680158663698355,0.6931471805599453,131.21154362145606
10,00,-56.84,-15.102,False,0.04702523275465947,0.6931471805599453,156.2125195182602,-30.0,-15.05,False,0.04683359732143234,0.6931471805599453,181.453691906267
10,00,-56.84,-10.102,False,0.07962915748447698,0.6931471805599453,184.48412467245592,-30.0,-10.05,False,0.07932792447760602,0.6931471805599453,209.17369229998215
10,00,-56.84,-5.102,False,0.1284291801602481,0.6931471805599453,139.73370315327574,-30.0,-5.05,False,0.1279995508660429,0.6931471805599453,163.919319562055
10,00,-56.84,-0.102,False,0.19337824579263077,0.6931471805599453,-50.922625678745504,-30.0,-0.05,False,0.19284410812317415,0.6931471805599453,-27.107338378152388
10,00,-56.84,4.898,False,0.26752473264654536,0.6931471805599453,-449.94084215083376,-30.0,4.95,False,0.2669641063994658,0.6931471805599453,-426.4416980032067
10,00,-56.84,9.898,False,0.338697205086913,0.6931471805599453,-1062.5674807850794,-30.0,9.95,False,0.33820441158069997,0.6931471805599453,-1039.5401685683894
10,00,-56.84,14.898,False,0.39650934203380045,0.6931471805599453,-1828.9988532858674,-30.0,14.95,False,0.39613901762322845,0.6931471805599453,-1806.6834940401795
10,00,-56.84,19.898,False,0.4374290425674554,0.6931471805599453,-2668.028926702168,-30.0,19.95,False,0.4371819430638853,0.6931471805599453,-2646.5339292373537
10,00,-51.84,-20.102,False,0.026865115589529746,0.6931471805599453,110.17276607421809,-25.0,-20.05,False,0.026750784331014812,0.6931471805599453,135.9059677510541
10,00,-51.84,-15.102,False,0.04693989903948954,0.6931471805599453,160.8259065883113,-25.0,-15.05,False,0.046748575516738146,0.6931471805599453,186.06981845807272
10,00,-51.84,-10.102,False,0.07949504269931962,0.6931471805599453,189.07767640455802,-25.0,-10.05,False,0.07919422149602678,0.6931471805599453,213.77057781052076
10,00,-51.84,-5.102,False,0.12823794746900002,0.6931471805599453,144.44100239605146,-25.0,-5.05,False,0.12780873785325195,0.6931471805599453,168.6302378476767
10,00,-51.84,-0.102,False,0.19314057243778748,0.6931471805599453,-45.929898483403704,-25.0,-0.05,False,0.1926066788961066,0.6931471805599453,-22.1108998165584
10,00,-51.84,4.898,False,0.26727536527773155,0.6931471805599453,-444.57442173909874,-25.0,4.95,False,0.2667146620646261,0.6931471805599453,-421.0712731659697
