LogicPattern,dH_H,dS_H,H_on,theta_H,MI_H,dG_H,dH_Ca,dS_Ca,Ca_on,theta_Ca,MI_Ca,dG_Ca
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-60.0,-60.0,False,0.0002931673801284924,0.6931471805599453,-54.722987157687136
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-60.0,-56.666666666666664,False,0.0004376360851070801,0.6931471805599453,-52.56018655317964
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-60.0,-53.333333333333336,False,0.0006532024434314687,0.6931471805599453,-49.5487609050965
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-60.0,-50.0,False,0.0009747389758027333,0.6931471805599453,-45.378915362959
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-60.0,-46.666666666666664,False,0.0014540960204039563,0.6931471805599453,-39.64265571434461
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-60.0,-43.33333333333333,False,0.002168168766259912,0.6931471805599453,-31.813806038621145
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-60.0,-40.0,False,0.003230627983497171,0.6931471805599453,-21.232464198033945
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-60.0,-36.666666666666664,False,0.004808691429193596,0.6931471805599453,-7.104394278870444
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-60.0,-33.33333333333333,False,0.007146500734567475,0.6931471805599453,11.465007345674735
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-60.0,-30.0,False,0.010596549805933228,0.6931471805599453,35.368948253399054
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-56.666666666666664,-60.0,False,0.0002927760728452593,0.6931471805599453,-51.396697355452
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-56.666666666666664,-56.666666666666664,False,0.0004370521115641174,0.6931471805599453,-49.23678077007667
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-56.666666666666664,-53.333333333333336,False,0.000652331197151965,0.6931471805599453,-46.22936751223522
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-56.666666666666664,-50.0,False,0.0009734396969270562,0.6931471805599453,-42.06507121276082
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-56.666666666666664,-46.666666666666664,False,0.0014521596487006355,0.6931471805599453,-36.33643158485776
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-56.666666666666664,-43.33333333333333,False,0.0021652856248662858,0.6931471805599453,-28.517953543404953
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-56.666666666666664,-40.0,False,0.003226341165343114,0.6931471805599453,-17.9505726825493
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-56.666666666666664,-36.666666666666664,False,0.004802334579903254,0.6931471805599453,-3.840986287730871
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-56.666666666666664,-33.33333333333333,False,0.007137092513455435,0.6931471805599453,14.704258467887676
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-56.666666666666664,-30.0,False,0.010582697217493489,0.6931471805599453,38.57760829077474
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-53.333333333333336,-60.0,False,0.00029238528756061203,0.6931471805599453,-48.07039815724232
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-53.333333333333336,-56.666666666666664,False,0.0004364689165601336,0.6931471805599453,-45.91336175181107
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-53.333333333333336,-53.333333333333336,False,0.0006514611114146993,0.6931471805599453,-42.90995555069814
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-53.333333333333336,-50.0,False,0.000972142146535569,0.6931471805599453,-38.7512011352998
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-53.333333333333336,-46.666666666666664,False,0.001450225848118515,0.6931471805599453,-33.03017145967412
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-53.333333333333336,-43.33333333333333,False,0.002162406300684723,0.6931471805599453,-25.22205142443194
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-53.333333333333336,-40.0,False,0.003222059998573676,0.6931471805599453,-14.66861335044922
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-53.333333333333336,-36.666666666666664,False,0.004795978747531737,0.6931471805599453,-0.5775671104842246
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-53.333333333333336,-33.33333333333333,False,0.007127696497214146,0.6931471805599453,17.943631638808107
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-53.333333333333336,-30.0,False,0.01056886234715711,0.6931471805599453,41.78642779108066
00,-46.84,-0.102,False,0.21991740126961315,0.6931471805599453,-40.11052752114984,-50.0,-60.0,False,0.00029199502357896704,0.6931471805599453,-44.74408957557859
